DAY,April,May,June,July,August,September,October,November
1,0,0,3453,0,0,0,0,3087
2,0,1907,0,0,0,0,0,0
3,0,0,0,3351,0,0,5580,0
4,0,1806,0,2430,0,4060,0,3167
5,0,0,4622,0,0,0,0,0
6,0,0,0,0,0,2272,0,4585
7,0,0,0,3460,0,0,0,0
8,0,0,0,0,0,1973,0,0
9,0,0,0,1506,0,0,0,0
10,0,0,0,0,0,3823,0,2418
11,0,0,0,2483,0,0,0,0
12,0,2221,0,0,0,0,2420,2520
13,0,0,0,0,6915,2343,0,0
14,0,1814,0,2597,1505,0,0,2521
15,0,4716,0,0,0,0,0,0
16,0,0,0,2978,4185,3571,0,0
17,0,0,0,0,0,0,3683,0
18,0,2353,0,0,0,0,2005,2637
19,0,1637,0,0,2606,103600,0,0
20,0,2055,0,0,0,0,0,2538
21,0,0,0,0,3778,2117,2342,0
22,0,3936,0,3168,0,0,0,0
23,0,0,0,0,3086,0,0,0
24,2763,0,2695,0,0,2555,0,0
25,0,1896,0,0,0,0,0,0
26,0,0,0,2452,2986,0,0,0
27,1851,1579,0,0,0,0,0,0
28,0,0,0,2255,4021,0,3056,0
29,0,0,0,0,0,0,0,0
30,0,0,539,0,0,2456,0,0
31,0,0,0,0,321651,0,0,0
